experiment_id,boronate/boronic ester smiles,bromide smiles,product_smiles,reaction_image,solvent,base,ligand,palladium source,temperature,comment,yield,round_id,raw_readout,internal_standard_redout
8B,O=C1O[B@@-]2(C3=C(OC)N=NC(OC)=C3)OC(C[N+](C1)2C)=O,CC1=C(C)C(Br)=C(C)C(C)=C1C,CC1=C(C)C(C)=C(C)C(C)=C1C2=C(OC)N=NC(OC)=C2,,"1,4-dioxane:water",K3PO4,SPhos,SPhosPdG4,60,,0.73,1,,
9A,O=C1O[B-]2(C3=NN(C4CCCCO4)C=C3)OC(C[N+](C1)2C)=O,O=C(OCC)C1CCCC2=C1N=C(Br)S2,O=C(OCC)C1CCCC2=C1N=C(C3=NN(C4CCCCO4)C=C3)S2,,"1,4-dioxane:water",K3PO4,SPhos,SPhosPdG4,60,,0.47,1,,
9B,O=C1O[B-]2(C3=NN(C4CCCCO4)C=C3)OC(C[N+](C1)2C)=O,O=C(OCC)C1CCCC2=C1N=C(Br)S2,O=C(OCC)C1CCCC2=C1N=C(C3=NN(C4CCCCO4)C=C3)S2,,"1,4-dioxane:water",K3PO4,SPhos,SPhosPdG4,60,,0.44,1,,
10A,O=C1O[B@-]2(c(cc3c4cccc3)c5c4cccc5)OC(C[N+](C1)2C)=O,O=Cc1[nH]c(Br)cc1,O=Cc1[nH]c(c(cc2c3cccc2)c4c3cccc4)cc1,,"1,4-dioxane:water",K3PO4,SPhos,SPhosPdG4,60,,0.13,1,,
10B,O=C1O[B@-]2(c(cc3c4cccc3)c5c4cccc5)OC(C[N+](C1)2C)=O,O=Cc1[nH]c(Br)cc1,O=Cc1[nH]c(c(cc2c3cccc2)c4c3cccc4)cc1,,"1,4-dioxane:water",K3PO4,SPhos,SPhosPdG4,60,,0.14,1,,
11A,O=C1O[B@-]2(c(cc3c4cccc3)c5c4cccc5)OC(C[N+](C1)2C)=O,CC1=CC=C(N=C1)Br,CC(C=C1)=CN=C1c(cc2c3cccc2)c4c3cccc4,,"1,4-dioxane:water",K3PO4,SPhos,SPhosPdG4,60,,0.58,1,,
11B,O=C1O[B@-]2(c(cc3c4cccc3)c5c4cccc5)OC(C[N+](C1)2C)=O,CC1=CC=C(N=C1)Br,CC(C=C1)=CN=C1c(cc2c3cccc2)c4c3cccc4,,"1,4-dioxane:water",K3PO4,SPhos,SPhosPdG4,60,,0.57,1,,
12A,O=C1O[B@-]2(c(cc3c4cccc3)c5c4cccc5)OC(C[N+](C1)2C)=O,Brc(n1)[nH]c2c1cccc2,c(cc1c2cccc1)(c(n3)[nH]c4c3cccc4)c5c2cccc5,,"1,4-dioxane:water",K3PO4,SPhos,SPhosPdG4,60,,0.53,1,,
12B,O=C1O[B@-]2(c(cc3c4cccc3)c5c4cccc5)OC(C[N+](C1)2C)=O,Brc(n1)[nH]c2c1cccc2,c(cc1c2cccc1)(c(n3)[nH]c4c3cccc4)c5c2cccc5,,"1,4-dioxane:water",K3PO4,SPhos,SPhosPdG4,60,,0.51,1,,
,,,,,,,,,,,,,,
13A,O=C1O[B-]2(C3=COC=C3)OC(C[N+](C1)2C)=O,BrC1=CC=C(NC=C2)C2=C1,C1(NC=C2)=C2C=C(C3=COC=C3)C=C1,,"1,4-dioxane:water",K3PO4,XPhos,XPhosPdG4,60,,0.98,1,,
13B,O=C1O[B-]2(C3=COC=C3)OC(C[N+](C1)2C)=O,BrC1=CC=C(NC=C2)C2=C1,C1(NC=C2)=C2C=C(C3=COC=C3)C=C1,,"1,4-dioxane:water",K3PO4,XPhos,XPhosPdG4,60,,0.98,1,,
14A,O=C1O[B@@-]2(C3=C(OC)N=NC(OC)=C3)OC(C[N+](C1)2C)=O,CC1=C(C)C(Br)=C(C)C(C)=C1C,CC1=C(C)C(C)=C(C)C(C)=C1C2=C(OC)N=NC(OC)=C2,,"1,4-dioxane:water",K3PO4,XPhos,XPhosPdG4,60,,0.57,1,,
14B,O=C1O[B@@-]2(C3=C(OC)N=NC(OC)=C3)OC(C[N+](C1)2C)=O,CC1=C(C)C(Br)=C(C)C(C)=C1C,CC1=C(C)C(C)=C(C)C(C)=C1C2=C(OC)N=NC(OC)=C2,,"1,4-dioxane:water",K3PO4,XPhos,XPhosPdG4,60,,0.58,1,,
15A,O=C1O[B-]2(C3=NN(C4CCCCO4)C=C3)OC(C[N+](C1)2C)=O,O=C(OCC)C1CCCC2=C1N=C(Br)S2,O=C(OCC)C1CCCC2=C1N=C(C3=NN(C4CCCCO4)C=C3)S2,,"1,4-dioxane:water",K3PO4,XPhos,XPhosPdG4,60,,0.41,1,,
15B,O=C1O[B-]2(C3=NN(C4CCCCO4)C=C3)OC(C[N+](C1)2C)=O,O=C(OCC)C1CCCC2=C1N=C(Br)S2,O=C(OCC)C1CCCC2=C1N=C(C3=NN(C4CCCCO4)C=C3)S2,,"1,4-dioxane:water",K3PO4,XPhos,XPhosPdG4,60,,0.43,1,,
16A,O=C1O[B@-]2(c(cc3c4cccc3)c5c4cccc5)OC(C[N+](C1)2C)=O,O=Cc1[nH]c(Br)cc1,O=Cc1[nH]c(c(cc2c3cccc2)c4c3cccc4)cc1,,"1,4-dioxane:water",K3PO4,XPhos,XPhosPdG4,60,,0.32,1,,
16B,O=C1O[B@-]2(c(cc3c4cccc3)c5c4cccc5)OC(C[N+](C1)2C)=O,O=Cc1[nH]c(Br)cc1,O=Cc1[nH]c(c(cc2c3cccc2)c4c3cccc4)cc1,,"1,4-dioxane:water",K3PO4,XPhos,XPhosPdG4,60,,0.31,1,,
17A,O=C1O[B@-]2(c(cc3c4cccc3)c5c4cccc5)OC(C[N+](C1)2C)=O,CC1=CC=C(N=C1)Br,CC(C=C1)=CN=C1c(cc2c3cccc2)c4c3cccc4,,"1,4-dioxane:water",K3PO4,XPhos,XPhosPdG4,60,,0.86,1,,
17B,O=C1O[B@-]2(c(cc3c4cccc3)c5c4cccc5)OC(C[N+](C1)2C)=O,CC1=CC=C(N=C1)Br,CC(C=C1)=CN=C1c(cc2c3cccc2)c4c3cccc4,,"1,4-dioxane:water",K3PO4,XPhos,XPhosPdG4,60,,0.83,1,,
18A,O=C1O[B@-]2(c(cc3c4cccc3)c5c4cccc5)OC(C[N+](C1)2C)=O,Brc(n1)[nH]c2c1cccc2,c(cc1c2cccc1)(c(n3)[nH]c4c3cccc4)c5c2cccc5,,"1,4-dioxane:water",K3PO4,XPhos,XPhosPdG4,60,,0.48,1,,
